time_ms,dist_mm,target_mmps,speedA_mmps,speedB_mmps,pwmA,pwmB
755430,601.0,0.0,111.4,112.8,112.8,1082312698
755480,601.0,0.0,111.4,104.0,104.0,1082312700
755530,601.0,0.0,111.4,118.8,118.8,1082312701
755580,601.0,0.0,111.4,104.0,104.0,1082312702
755630,601.0,0.0,111.4,118.8,104.0,1082312702
755680,601.0,0.0,111.4,104.0,118.8,1082312703
755730,601.0,0.0,111.4,118.8,118.8,1082312703
755780,601.0,0.0,111.4,104.0,104.0,1082312703
755830,601.0,0.0,111.4,118.8,118.8,1082312703
755880,601.0,0.0,111.4,104.0,104.0,1082312703
755930,601.0,0.0,111.4,118.8,118.8,1082312703
755980,601.0,0.0,111.4,104.0,104.0,1082312703
756030,601.0,0.0,111.4,104.0,104.0,1082312703
756080,601.0,0.0,111.4,133.7,118.8,1082312703
756130,601.0,0.0,111.4,89.1,118.8,1082312703
756180,601.0,0.0,111.4,118.8,104.0,1082312703
756230,601.0,0.0,111.4,118.8,104.0,1082312703
756280,601.0,0.0,111.4,89.1,133.7,1082312703
756330,601.0,0.0,111.4,133.7,104.0,1082312703
756380,601.0,0.0,111.4,104.0,89.1,1082312703
756430,601.0,0.0,111.4,104.0,133.7,1082312703
756480,601.0,0.0,111.4,118.8,104.0,1082312703
756530,601.0,0.0,111.4,104.0,118.8,1082312703
756580,601.0,0.0,111.4,118.8,104.0,1082312703
756630,601.0,0.0,111.4,104.0,104.0,1082312703
756680,601.0,0.0,111.4,118.8,118.8,1082312703
756730,601.0,0.0,111.4,104.0,118.8,1082312703
756780,601.0,0.0,111.4,118.8,104.0,1082312703
756830,601.0,0.0,111.4,118.8,118.8,1082312703
756880,601.0,0.0,111.4,89.1,104.0,1082312703
756930,601.0,0.0,111.4,133.7,118.8,1082312703
756980,601.0,0.0,111.4,104.0,104.0,1082312703
757030,601.0,0.0,111.4,104.0,104.0,1082312703
757080,601.0,0.0,111.4,118.8,133.7,1082312703
757130,601.0,0.0,111.4,104.0,89.1,1082312703
757180,601.0,0.0,111.4,133.7,133.7,1082312703
757230,601.0,0.0,111.4,89.1,89.1,1082312703
757280,601.0,0.0,111.4,118.8,133.7,1082312703
757330,601.0,0.0,111.4,118.8,104.0,1082312703
757380,601.0,0.0,111.4,104.0,104.0,1082312703
757430,601.0,0.0,111.4,104.0,118.8,1082312703
757480,601.0,0.0,111.4,133.7,118.8,1082312703
757530,601.0,0.0,111.4,104.0,89.1,1082312703
757580,601.0,0.0,111.4,104.0,133.7,1082312703
757630,601.0,0.0,111.4,118.8,104.0,1082312703
757680,601.0,0.0,111.4,104.0,104.0,1082312703
757730,601.0,0.0,111.4,104.0,104.0,1082312703
757780,601.0,0.0,111.4,133.7,133.7,1082312703
757830,601.0,0.0,111.4,104.0,104.0,1082312703
757880,601.0,0.0,111.4,104.0,104.0,1082312703
757930,601.0,0.0,111.4,118.8,118.8,1082312703
757980,601.0,0.0,111.4,104.0,104.0,1082312703
758030,601.0,0.0,111.4,118.8,118.8,1082312703
758080,601.0,0.0,111.4,104.0,104.0,1082312703
758130,601.0,0.0,111.4,118.8,118.8,1082312703
758180,601.0,0.0,111.4,104.0,118.8,1082312703
758230,601.0,0.0,111.4,118.8,104.0,1082312703
758280,601.0,0.0,111.4,104.0,104.0,1082312703
758330,601.0,0.0,111.4,118.8,118.8,1082312703
758380,601.0,0.0,111.4,118.8,118.8,1082312703
758430,601.0,0.0,111.4,89.1,89.1,1082312703
758480,601.0,0.0,111.4,133.7,118.8,1082312703
758530,601.0,0.0,111.4,104.0,118.8,1082312703
758580,601.0,0.0,111.4,104.0,104.0,1082312703
758630,601.0,0.0,111.4,104.0,104.0,1082312703
758680,601.0,0.0,111.4,133.7,133.7,1082312703
758730,784.3,300.0,111.4,104.0,104.0,1082688102
758780,888.6,300.0,111.4,104.0,104.0,1082901729
758830,802.3,-300.0,111.4,118.8,104.0,1082725021
758880,891.9,300.0,111.4,104.0,133.7,1082908526
758930,952.6,300.0,111.4,104.0,104.0,1083032678
758980,982.7,300.0,111.4,133.7,89.1,1083094395
759030,998.1,300.0,111.4,104.0,133.7,1083125923
759080,1006.5,167.5,111.4,89.1,118.8,1083143077
759130,1005.7,-14.7,111.4,133.7,89.1,1083141568
759180,1014.8,181.7,111.4,104.0,118.8,1083160173
759230,1011.0,-76.8,111.4,118.8,118.8,1083152306
