time_ms,phase,target_mmps,speedA_mmps,speedB_mmps,pwmA,pwmB
105631,5,166.3,178.2,133.7,75,61
105681,5,164.8,178.2,133.7,78,59
105731,5,163.4,193.1,118.8,72,65
105781,5,161.9,193.1,133.7,70,63
105831,5,160.4,178.2,133.7,73,63
105881,5,158.9,178.2,133.7,73,63
105931,5,157.4,193.1,133.7,66,65
105981,5,155.9,163.4,133.7,75,63
106031,5,154.5,178.2,148.5,71,59
106081,5,153.0,178.2,118.8,70,66
106131,5,151.5,178.2,133.7,68,64
106181,5,150.0,163.4,148.5,71,60
106231,6,148.5,178.2,133.7,67,62
106281,6,147.0,163.4,133.7,69,62
106331,6,145.5,163.4,133.7,70,61
106381,6,144.1,163.4,133.7,69,61
106431,6,142.6,163.4,118.8,69,64
106481,6,141.1,163.4,133.7,68,60
106531,6,139.6,148.5,118.8,71,63
106581,6,138.1,163.4,133.7,67,60
106631,6,136.6,163.4,118.8,66,62
106681,6,135.1,163.4,118.8,65,62
106731,6,133.7,148.5,118.8,67,63
106781,6,132.2,163.4,118.8,63,62
106831,6,130.7,148.5,104.0,65,66
106881,6,129.2,163.4,118.8,56,67
106931,6,127.7,133.7,148.5,55,66
106981,6,126.2,163.4,163.4,45,62
107031,6,124.7,133.7,163.4,46,64
107081,6,123.3,133.7,193.1,35,64
107131,6,121.8,118.8,193.1,32,66
107181,6,120.3,89.1,193.1,43,58
107231,6,118.8,104.0,193.1,45,49
107281,6,117.3,118.8,163.4,42,52
107331,6,115.8,133.7,163.4,29,58
107381,6,114.4,104.0,163.4,33,57
107431,6,112.9,74.3,178.2,42,50
107481,6,111.4,104.0,163.4,41,45
107531,6,109.9,118.8,148.5,31,51
107581,6,108.4,104.0,133.7,24,62
107631,6,106.9,74.3,178.2,25,56
107681,6,105.4,59.4,163.4,41,45
107731,6,104.0,89.1,163.4,52,25
107781,6,102.5,118.8,104.0,56,25
107831,6,101.0,163.4,74.3,51,25
107881,6,99.5,148.5,59.4,49,31
107931,6,98.0,148.5,74.3,43,32
107981,6,96.5,133.7,74.3,45,32
108031,6,95.0,133.7,89.1,39,33
108081,6,93.6,118.8,89.1,44,29
108131,6,92.1,118.8,74.3,53,22
108181,6,90.6,148.5,74.3,50,20
108231,6,89.1,148.5,44.6,52,20
108281,6,87.6,148.5,44.6,55,20
108331,6,86.1,163.4,44.6,42,21
108381,6,84.7,133.7,44.6,47,21
108431,6,83.2,133.7,44.6,45,22
108481,6,81.7,133.7,44.6,45,21
108531,6,80.2,133.7,44.6,41,23
108581,6,78.7,133.7,44.6,38,24
108631,6,77.2,104.0,59.4,42,22
108681,6,75.7,118.8,44.6,37,26
108731,6,74.3,104.0,59.4,38,24
108781,6,72.8,118.8,59.4,32,24
108831,6,71.3,89.1,59.4,37,24
108881,6,69.8,89.1,44.6,36,29
108931,6,68.3,104.0,74.3,30,22
108981,6,66.8,89.1,59.4,32,25
109031,6,65.3,89.1,44.6,30,29
109081,6,63.9,74.3,74.3,32,22
109131,6,62.4,89.1,59.4,28,25
109181,6,60.9,74.3,44.6,30,28
109231,6,59.4,74.3,74.3,28,21
109281,6,57.9,74.3,44.6,27,28
109331,6,56.4,74.3,59.4,26,24
109381,6,54.9,59.4,59.4,29,24
109431,6,53.5,74.3,59.4,24,23
109481,6,52.0,59.4,59.4,26,22
109531,6,50.5,74.3,44.6,22,25
109581,6,49.0,59.4,59.4,24,22
109631,6,47.5,44.6,59.4,27,21
109681,6,46.0,59.4,44.6,23,23
109731,6,44.6,74.3,44.6,20,23
109781,6,43.1,44.6,59.4,24,20
109831,6,41.6,44.6,44.6,23,21
109881,6,40.1,59.4,44.6,20,21
109931,6,38.6,44.6,44.6,21,20
109981,6,37.1,44.6,44.6,20,20
110031,6,35.6,44.6,29.7,20,23
110081,6,34.2,44.6,59.4,20,20
110131,6,32.7,44.6,44.6,20,20
110181,6,31.2,44.6,29.7,20,20
110231,6,29.7,44.6,44.6,20,20
110281,6,28.2,44.6,44.6,20,20
110331,6,26.7,29.7,44.6,20,20
110381,6,25.2,44.6,44.6,20,20
110431,6,23.8,44.6,44.6,20,20
110481,6,22.3,44.6,29.7,20,20
110531,6,20.8,44.6,44.6,20,20
110581,6,19.3,44.6,44.6,20,20
110631,6,17.8,44.6,44.6,20,20
110681,6,16.3,44.6,44.6,20,20
110731,6,14.9,29.7,29.7,20,20
110781,6,13.4,44.6,44.6,-20,20
110831,6,11.9,-14.9,44.6,20,-20
110881,6,10.4,14.9,0.0,20,20
110931,6,8.9,44.6,0.0,-20,20
110981,6,7.4,0.0,0.0,20,20
111031,6,5.9,29.7,0.0,-20,20
111081,6,4.5,0.0,0.0,20,20
111131,6,3.0,0.0,0.0,20,20
111181,6,1.5,0.0,0.0,20,20
111231,0,0.0,0.0,0.0,20,20
111281,0,0.0,0.0,0.0,20,20
111331,0,0.0,0.0,0.0,20,20
111381,0,0.0,0.0,0.0,20,20
111431,0,0.0,0.0,0.0,20,20
111481,0,0.0,0.0,0.0,20,20
111531,0,0.0,0.0,0.0,20,20
111581,0,0.0,0.0,0.0,20,20
111631,0,0.0,0.0,0.0,20,20
111681,0,0.0,0.0,0.0,20,20
111731,0,0.0,0.0,0.0,20,20
111781,0,0.0,0.0,0.0,20,20
111831,0,0.0,0.0,0.0,20,20
111881,0,0.0,0.0,0.0,20,20
111931,0,0.0,0.0,0.0,20,20
